original_title,belongs_to_collection,original_language,budget,popularity,production_countries,runtime,spoken_languages,vote_average,vote_count,revenue,Foreign,Science Fiction,Romance,Action,Crime,Thriller,Family,Fantasy,Western,War,Horror,History,Animation,Comedy,Adventure,Mystery,Documentary,Music,Drama,release_year,production_companies_count,crew,cast
Pushing Hands,0,0,400000.0,1.638622,1,105.0,2,6.1,9.0,152322.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1992,1,4,9
The Quick and the Dead,0,1,32000000.0,7.54701,2,107.0,1,6.2,431.0,18552460.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,1,10,16
Roommates,0,0,22000000.0,3.395867,1,108.0,1,6.4,7.0,12400000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,3,1,6
Prêt-à-Porter,0,1,15000000.0,6.259433,1,133.0,5,5.3,33.0,11300653.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1994,1,14,47
The Swan Princess,1,1,35000000.0,8.910462,1,89.0,1,6.5,251.0,9771658.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1994,1,75,13
The Specialist,0,1,45000000.0,10.388183,2,110.0,1,5.5,317.0,170362582.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,3,14,12
Stargate,0,1,55000000.0,13.328924,2,121.0,3,6.8,942.0,196567262.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,3,30,15
The Santa Clause,1,1,22000000.0,9.665424,1,97.0,1,6.3,501.0,189833357.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1994,2,8,11
The Shawshank Redemption,0,1,25000000.0,51.645403,1,142.0,1,8.5,8358.0,28341469.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,2,90,42
Tank Girl,0,1,25000000.0,7.602087,1,98.0,1,5.5,140.0,4064495.0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1995,1,10,76
Star Trek: Generations,1,1,38000000.0,8.105708,1,118.0,1,6.4,461.0,120000000.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,1,15,17
Tales from the Hood,0,1,6000000.0,2.86007,1,98.0,1,5.4,33.0,12000000.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1995,2,9,30
What's Eating Gilbert Grape,0,1,11000000.0,10.3919,1,118.0,1,7.5,943.0,10032765.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1993,1,3,25
Virtuosity,0,1,30000000.0,5.188399,1,106.0,1,5.4,163.0,24048000.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,1,8,11
While You Were Sleeping,0,1,17000000.0,15.783615,1,103.0,1,6.5,340.0,182057016.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1995,2,8,10
Muriel's Wedding,0,1,3000000.0,5.254847,2,106.0,1,6.9,104.0,15119639.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1994,3,12,14
Ace Ventura: Pet Detective,1,1,15000000.0,11.247957,1,86.0,1,6.4,1684.0,107217396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1994,2,10,19
Bitter Moon,0,1,5000000.0,11.298195,3,139.0,2,7.0,115.0,1862805.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1992,6,33,13
Clear and Present Danger,1,1,62000000.0,7.513245,1,141.0,1,6.4,390.0,215887717.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1994,2,85,18
The Client,0,1,45000000.0,15.263829,1,119.0,1,6.4,287.0,117615211.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1994,3,16,15
The Crow,1,1,15000000.0,15.799336,1,102.0,1,7.3,980.0,94000000.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,5,25,16
The Flintstones,1,1,46000000.0,15.019586,1,91.0,1,5.0,559.0,341631208.0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1994,3,31,15
Forrest Gump,0,1,55000000.0,48.307194,1,142.0,1,8.2,8147.0,677945399.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1994,1,131,66
Four Weddings and a Funeral,0,1,6000000.0,8.990345,1,117.0,1,6.6,654.0,254700832.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1994,3,13,29
I Love Trouble,0,1,45000000.0,3.570874,1,123.0,2,5.3,41.0,61947267.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1994,2,26,16
The Lion King,1,1,45000000.0,21.605761,1,89.0,1,8.0,5520.0,788241776.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1994,2,35,28
