ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Inches_OpSys_Weight,Inches_Cpu_Gpu,Company_Cpu,Inches_OpSys_Weight_Inches_Cpu_Gpu
0,37,6,23,43,5,318.15249071128216,2850,15910,74,45343500
8,102,9,10,75,2,941.1084165795268,3528,107100,0,377848800
15,102,9,5,75,5,1324.8937637662134,12560,122400,714,1537344000
8,56,6,4,47,4,448.8619930139942,4144,36848,560,152698112
15,102,9,5,79,5,1841.0572451999017,8610,112812,204,971311320
15,74,9,16,72,5,1222.5510045164303,2850,53280,740,151848000
7,97,1,29,53,5,1945.5136049124524,770,35987,194,27709990
10,97,9,29,53,5,2538.545397913097,750,51410,970,38557500
15,59,6,4,53,5,610.7192916101185,1995,21889,590,43668555
8,72,9,26,2,5,1522.9047544886198,7700,2016,288,15523200
15,94,9,16,101,5,2375.0194673726837,10500,132916,376,1395618000
39,97,1,29,53,5,2791.0650321489748,2200,51410,970,113102000
8,102,9,10,75,5,1155.8057267448326,13440,122400,204,1645056000
8,102,1,18,76,5,1769.862282243531,13440,124032,204,1666990080
9,83,0,10,97,5,772.0092553451842,8050,112714,0,907347700
8,102,9,16,76,5,1500.656328564754,11520,124032,1122,1428848640
8,97,9,16,30,2,866.431574966071,3304,40740,388,134604960
8,14,6,16,6,5,555.0982268004539,5670,1176,98,6667920
15,106,9,16,35,5,1367.7887289474268,7490,51940,1060,389030600
15,74,9,16,53,5,1043.45117582931,4400,39220,740,172568000
5,102,9,16,101,5,3016.8865552762136,4830,144228,408,696621240
10,97,1,12,53,5,2920.1059025073973,750,51410,970,38557500
0,37,6,10,43,5,340.400916635148,8050,22274,370,179305700
8,102,1,18,75,5,1700.8921618795466,11920,122400,204,1459008000
15,83,9,18,35,5,1273.1661734932252,10165,55195,830,561057175
8,102,9,16,75,2,977.8183193539056,3668,107100,0,392842800
8,102,1,18,80,5,2501.8354951387187,11680,130560,1122,1524940800
8,97,9,29,53,5,2083.56508777004,600,51410,194,30846000
8,89,1,29,47,5,1943.400004449685,1155,29281,1424,33819555
8,99,9,29,40,5,1868.867777604734,1900,39600,396,75240000
8,56,6,26,47,5,454.98031014305735,13225,60536,560,800588600
0,37,4,23,43,5,338.6766636260484,170,3182,370,540940
8,102,9,29,101,5,2141.410995172091,9450,144228,1020,1362954600
18,102,9,29,74,5,2161.4345785035703,3550,75480,1020,267954000
8,56,6,10,6,5,521.725587914655,7490,4704,392,35232960
13,89,9,16,47,5,877.711526909471,2205,29281,0,64564605
13,74,9,16,53,5,1032.326962867377,1050,27454,148,28826700
8,74,6,16,24,2,666.2291142901639,3444,24864,296,85631616
